0.00 , 0.00


0.00 , 0.00

0.00 , 0.00


0.00 , 0.00

0.00 , 0.00


0.00 , 0.00

0.00 , 0.00

3.35 , 0.00


3.35 , 0.00

0.00 , 0.00

0.00 , 0.00

0.00 , 0.00

0.00 , 0.00


33.94 , 0.00

48.77 , 99.00


60.90 , 99.00

60.90 , 99.00


41.63 , 99.00

62.29 , 99.00

64.34 , 99.00


63.50 , 99.00

66.14 , 99.00

69.55 , 99.00

69.58 , 99.00


74.09 , 99.00

73.43 , 99.00


74.25 , 99.00

67.95 , 99.00

69.90 , 99.00


71.72 , 99.00

72.95 , 99.00


47.79 , 99.00


60.61 , 99.00

70.82 , 99.00

47.65 , 98.00

63.63 , 98.00

63.63 , 98.00


44.37 , 98.00

44.37 , 98.00

38.07 , 0.00


58.73 , 0.00

74.01 , 99.00

72.86 , 99.00

73.42 , 100.00


73.16 , 100.00

77.07 , 100.00

75.64 , 100.00


74.58 , 100.00

75.28 , 99.00


48.19 , 99.00


62.81 , 99.00

68.03 , 99.00

73.97 , 99.00


80.46 , 99.00

79.42 , 99.00


83.78 , 99.00

86.17 , 99.00

55.33 , 99.00


55.33 , 99.00

48.62 , 100.00


48.62 , 100.00

33.35 , 100.00

62.87 , 99.00


68.11 , 99.00


71.41 , 99.00

70.32 , 99.00

69.40 , 99.00

72.90 , 99.00


69.90 , 99.00

70.66 , 99.00

70.52 , 99.00


70.91 , 99.00

68.21 , 99.00

71.03 , 99.00

72.20 , 99.00


70.57 , 99.00

68.55 , 99.00

68.19 , 99.00

69.51 , 100.00


66.29 , 100.00

68.72 , 99.00

66.44 , 99.00


64.77 , 99.00

69.46 , 99.00

70.98 , 99.00

73.77 , 99.00

75.60 , 99.00


75.70 , 99.00

69.42 , 99.00

61.76 , 99.00

61.76 , 99.00

39.94 , 99.00

51.72 , 99.00


57.92 , 99.00

65.25 , 99.00

67.01 , 99.00


72.47 , 99.00

68.78 , 100.00


66.95 , 100.00


68.01 , 100.00

71.42 , 99.00

73.46 , 99.00


74.27 , 99.00

